tourney_year_id,tourney_order,tourney_slug,tourney_url_suffix,tourney_round_name,round_order,match_order,winner_name,winner_player_id,winner_slug,loser_name,loser_player_id,loser_slug,winner_seed,loser_seed,match_score_tiebreaks,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,winner_tiebreaks_won,loser_tiebreaks_won,match_id,match_stats_url_suffix
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Finals,1,1,Nicklas Kulti,k181,nicklas-kulti,Michael Stich,s351,michael-stich,,6,63 16 62,2,1,13,11,0,0,1991-7308-k181-s351,/en/scores/1991/7308/MS001/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Semi-Finals,2,1,Michael Stich,s351,michael-stich,Jim Courier,c243,jim-courier,6,2,64 76(6),2,0,13,10,1,0,1991-7308-s351-c243,/en/scores/1991/7308/MS003/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Semi-Finals,2,2,Nicklas Kulti,k181,nicklas-kulti,Magnus Larsson,l206,magnus-larsson,,,75 64,2,0,13,9,0,0,1991-7308-k181-l206,/en/scores/1991/7308/MS002/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Quarter-Finals,3,1,Jim Courier,c243,jim-courier,Martin Sinner,s367,martin-sinner,2,Q,76(3) 63,2,0,13,9,1,0,1991-7308-c243-s367,/en/scores/1991/7308/MS007/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Quarter-Finals,3,2,Michael Stich,s351,michael-stich,Jimmy Arias,a031,jimmy-arias,6,,36 63 63,2,1,15,12,0,0,1991-7308-s351-a031,/en/scores/1991/7308/MS006/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Quarter-Finals,3,3,Nicklas Kulti,k181,nicklas-kulti,Fabrice Santoro,s424,fabrice-santoro,,,63 60,2,0,12,3,0,0,1991-7308-k181-s424,/en/scores/1991/7308/MS005/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Quarter-Finals,3,4,Magnus Larsson,l206,magnus-larsson,Patrik Kuhnen,k030,patrik-kuhnen,,,76(6) 36 63,2,1,16,15,1,0,1991-7308-l206-k030,/en/scores/1991/7308/MS004/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Round of 16,4,1,Jim Courier,c243,jim-courier,Paul Haarhuis,h223,paul-haarhuis,2,,64 64,2,0,12,8,0,0,1991-7308-c243-h223,/en/scores/1991/7308/MS015/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Round of 16,4,2,Nicklas Kulti,k181,nicklas-kulti,Magnus Gustafsson,g182,magnus-gustafsson,,5,46 61 61,2,1,16,8,0,0,1991-7308-k181-g182,/en/scores/1991/7308/MS011/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Round of 16,4,3,Michael Stich,s351,michael-stich,Gilad Bloom,b051,gilad-bloom,6,,75 61,2,0,13,6,0,0,1991-7308-s351-b051,/en/scores/1991/7308/MS012/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Round of 16,4,4,Patrik Kuhnen,k030,patrik-kuhnen,Todd Woodbridge,w136,todd-woodbridge,,8,75 62,2,0,13,7,0,0,1991-7308-k030-w136,/en/scores/1991/7308/MS009/match-stats
1991-7308,1,adelaide,/en/scores/archive/adelaide/7308/1991/results,Round of 16,4,5,Jimmy Arias,a031,jimmy-arias,Jason Stoltenberg,s331,jason-stoltenberg,,WC,62 64,2,0,12,6,0,0,1991-7308-a031-s331,/en/scores/1991/7308/MS013/match-stats
1991-354,2,wellington,/en/scores/archive/wellington/354/1991/results,Semi-Finals,2,1,Richard Fromberg,f164,richard-fromberg,Christian Bergstrom,b040,christian-bergstrom,3,,63 57 76(8),2,1,18,16,1,0,1991-354-f164-b040,/en/scores/1991/354/MS002/match-stats
1991-354,2,wellington,/en/scores/archive/wellington/354/1991/results,Semi-Finals,2,2,Lars Jonsson,j084,lars-jonsson,Omar Camporese,c009,omar-camporese,,6,57 63 76(3),2,1,18,16,1,0,1991-354-j084-c009,/en/scores/1991/354/MS003/match-stats
1991-354,2,wellington,/en/scores/archive/wellington/354/1991/results,Quarter-Finals,3,1,Richard Fromberg,f164,richard-fromberg,Ramesh Krishnan,k024,ramesh-krishnan,3,,57 64 75,2,1,18,16,0,0,1991-354-f164-k024,/en/scores/1991/354/MS005/match-stats
1991-354,2,wellington,/en/scores/archive/wellington/354/1991/results,Quarter-Finals,3,2,Omar Camporese,c009,omar-camporese,Thomas Hogstedt,h029,thomas-hogstedt,6,,63 76(3),2,0,13,9,1,0,1991-354-c009-h029,/en/scores/1991/354/MS006/match-stats
1991-201,6,maceio,/en/scores/archive/maceio/201/1991/results,Round of 32,5,2,Danilo Marcelino,m028,danilo-marcelino,Marcelo Filippini,f165,marcelo-filippini,2,,63 64,2,0,12,7,0,0,1991-201-m028-f165,/en/scores/1991/201/MS031/match-stats
1991-201,6,maceio,/en/scores/archive/maceio/201/1991/results,Round of 32,5,3,Pablo Albano,a149,pablo-albano,Horacio De La Pena,d008,horacio-de-la-pena,Q,3,06 64 76(4),2,1,13,16,1,0,1991-201-a149-d008,/en/scores/1991/201/MS027/match-stats
